,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
count,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8949.0,8950.0,8637.0,8950.0,8950.0
mean,1564.4748276781004,0.8772707255865921,1003.2048335195531,592.4373709497206,411.0676446927374,978.8711124654747,0.49035054837988834,0.20245768357541902,0.3644373415642458,0.13514420033519553,3.2488268156424582,14.709832402234637,4494.449450364621,1733.1438520248046,864.2065423050826,0.15371464849162012,11.51731843575419
std,2081.5318794565546,0.23690400268476852,2136.634781872889,1659.887917437811,904.3381151753817,2097.163876643234,0.40137074736904105,0.2983360651847195,0.397447779745413,0.20012138814749686,6.824646744165832,24.857649109884736,3638.8157254984967,2895.063756904574,2372.446606583975,0.29249919623387854,1.3383307693673285
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.019163,0.0,6.0
25%,128.2819155,0.888889,39.635,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,1.0,1600.0,383.276166,169.123707,0.0,12.0
50%,873.385231,1.0,361.28,38.0,89.0,0.0,0.5,0.083333,0.166667,0.0,0.0,7.0,3000.0,856.901546,312.343947,0.0,12.0
75%,2054.1400355,1.0,1110.13,577.405,468.6375,1113.8211392500002,0.916667,0.3,0.75,0.222222,4.0,17.0,6500.0,1901.1343167500002,825.485459,0.142857,12.0
max,19043.13856,1.0,49039.57,40761.25,22500.0,47137.21176,1.0,1.0,1.0,1.5,123.0,358.0,30000.0,50721.48336,76406.20752,1.0,12.0
