epoch,train_accuracy,train_loss,val_accuracy,val_loss,learning_rate
1,0.6901835799217224,1.4274263381958008,0.42697465419769287,1.6216446161270142,0.0005000000237487257
2,0.8314445614814758,0.3980942964553833,0.6795827150344849,0.9757413864135742,0.0005000000237487257
3,0.8735833764076233,0.3303810954093933,0.818926990032196,0.5977302193641663,0.0005000000237487257
4,0.896887481212616,0.35030755400657654,0.8755588531494141,0.4324922561645508,0.0005000000237487257
5,0.9061452746391296,0.2710842490196228,0.9031296372413635,0.3513389825820923,0.0005000000237487257
6,0.9136472344398499,0.2549031674861908,0.9239940643310547,0.30486762523651123,0.0005000000237487257
7,0.9235435128211975,0.2395848035812378,0.9374068379402161,0.27833181619644165,0.0005000000237487257
8,0.9256185293197632,0.23074203729629517,0.9456035494804382,0.26001209020614624,0.0005000000237487257
9,0.930566668510437,0.22225473821163177,0.9508196711540222,0.23918472230434418,0.0005000000237487257
10,0.929289698600769,0.21458923816680908,0.9567809104919434,0.22618846595287323,0.0005000000237487257
11,0.9324820637702942,0.20974750816822052,0.9567809104919434,0.22312040627002716,0.0005000000237487257
12,0.9329608678817749,0.20586922764778137,0.9605066776275635,0.21127574145793915,0.0005000000237487257
13,0.9374301433563232,0.19878074526786804,0.9560357928276062,0.20965774357318878,0.0005000000237487257
14,0.9385474920272827,0.2081672102212906,0.9664679765701294,0.20971782505512238,0.0005000000237487257
15,0.936791718006134,0.20173139870166779,0.9657227993011475,0.20946037769317627,0.0005000000237487257
16,0.9390263557434082,0.20128299295902252,0.9582712650299072,0.2156330645084381,0.0005000000237487257
17,0.9372705221176147,0.19659318029880524,0.9634873270988464,0.20160654187202454,0.0005000000237487257
18,0.9374301433563232,0.19998326897621155,0.9634873270988464,0.19490967690944672,0.0005000000237487257
19,0.943336009979248,0.18118733167648315,0.9582712650299072,0.19238105416297913,0.0005000000237487257
20,0.9425379037857056,0.18767185509204865,0.9560357928276062,0.1875583976507187,0.0005000000237487257
21,0.9426975250244141,0.19245044887065887,0.9642325043678284,0.195895716547966,0.0005000000237487257
22,0.9431763887405396,0.18630743026733398,0.9672130942344666,0.19261865317821503,0.0005000000237487257
23,0.943016767501831,0.18285712599754333,0.9575260877609253,0.19229531288146973,0.0005000000237487257
24,0.9425379037857056,0.178306445479393,0.9679582715034485,0.18527835607528687,0.0002500000118743628
25,0.936472475528717,0.1950528472661972,0.9672130942344666,0.18115533888339996,0.0002500000118743628
26,0.9503591656684875,0.16863104701042175,0.9664679765701294,0.1801643967628479,0.0002500000118743628
27,0.9431763887405396,0.17648902535438538,0.9709389209747314,0.17493273317813873,0.0002500000118743628
28,0.9513168334960938,0.1583152413368225,0.9709389209747314,0.17322281002998352,0.0002500000118743628
29,0.9470071792602539,0.1735030859708786,0.9687034487724304,0.1722717583179474,0.0002500000118743628
30,0.9417397975921631,0.1831360161304474,0.9701937437057495,0.17015933990478516,0.0002500000118743628
31,0.9450917840003967,0.17294998466968536,0.9709389209747314,0.16631756722927094,0.0002500000118743628
32,0.9478052854537964,0.16686224937438965,0.9709389209747314,0.16454480588436127,0.0002500000118743628
33,0.9476456642150879,0.1628396213054657,0.9724292159080505,0.1650356501340866,0.0002500000118743628
34,0.9482840895652771,0.16588634252548218,0.9701937437057495,0.15901854634284973,0.0002500000118743628
35,0.9415802359580994,0.171148419380188,0.9687034487724304,0.16384731233119965,0.0002500000118743628
36,0.9450917840003967,0.16602690517902374,0.9694485664367676,0.1576486974954605,0.0002500000118743628
37,0.9481245279312134,0.16182594001293182,0.9739195108413696,0.15461552143096924,0.0002500000118743628
38,0.9519553184509277,0.16472895443439484,0.9612518548965454,0.16271811723709106,0.0002500000118743628
39,0.9471668004989624,0.1652335822582245,0.9724292159080505,0.15452274680137634,0.0002500000118743628
40,0.9439744353294373,0.19689202308654785,0.9724292159080505,0.16686955094337463,0.0002500000118743628
41,0.9525938034057617,0.1593301147222519,0.9694485664367676,0.167527973651886,0.0001250000059371814
42,0.9476456642150879,0.1683223396539688,0.9724292159080505,0.16658884286880493,0.0001250000059371814
43,0.9470071792602539,0.16474616527557373,0.9701937437057495,0.16719546914100647,0.0001250000059371814
44,0.9498803019523621,0.16555392742156982,0.9694485664367676,0.1671963483095169,6.25000029685907e-05
45,0.9506783485412598,0.16727979481220245,0.9709389209747314,0.1646706759929657,6.25000029685907e-05
46,0.9549880027770996,0.1559099704027176,0.9746646881103516,0.16352605819702148,6.25000029685907e-05
47,0.9535514712333679,0.1571529358625412,0.9731743931770325,0.16375969350337982,3.125000148429535e-05
